NOME STRUTTURA,COMUNE,TOTALE ACCESSI,TRIAGE BIANCO (%),TRIAGE VERDE (%),TRIAGE GIALLO (%),TRIAGE ROSSO (%)
OSP. DI ACQUAPENDENTE,ACQUAPENDENTE,5264,"6,88", 79.73, 11.15,"0,19"
OSP. A.ANGELUCCI,SUBIACO,9178,"1,14", 67.10, 29.77,"1,24"
OSP. DI CIVITA CASTELLANA,CIVITA CASTELLANA,14898,"2,46", 76.94, 18.57,"1,28"
OSP. PADRE PIO,BRACCIANO,15680,"2,29", 74.69, 21.43,"1,17"
C.C.A. I.C.O.T.,LATINA,17334,"5,34", 88.74, 5.88,"0,03"
OSP.C. S.CARLO DI NANCY,ROMA,17758,"2,33", 87.23, 10.09,"0,3"
OSP.C. CRISTO RE,ROMA,18091,"1,07", 72.64, 26.05,"0,24"
OSP. DI TARQUINIA,TARQUINIA,19155,"6,58", 73.94, 18.86,"0,56"
OSP. SS GONFALONE,MONTEROTONDO,22245,"3,17", 72.36, 22.46,"1,42"
OSP. S.GIOVANNI DI DIO,FONDI,23582,"6,43", 67.05, 24.70,"1,43"
C.C.A.S.ANNA,POMEZIA,24139,"3,23", 72.36, 22.23,"2,13"
C.C.A. AURELIA HOSPITAL,ROMA,24623,"1,23", 69.65, 26.64,"2,45"
OSP. G. EASTMAN,ROMA,26905,"2,18", 97.67, 0.10,"0,01"
OSP. SS.TRINITA',SORA,27128,"3,47", 61.95, 32.54,"1,26"
OSP. S.PAOLO,CIVITAVECCHIA,27858,"2,23", 53.27, 39.60,"4,18"
OSP. S.BENEDETTO,ALATRI,27928,"1,25", 82.07, 15.71,"0,34"
OSP. L.PARODI DELFINO,COLLEFERRO,28698,"3,25", 63.49, 30.24,"2,15"
OSP. PAOLO COLOMBO,VELLETRI,28789,"1,12", 62.33, 34.97,"1,58"
OSP. A.FIORINI,TERRACINA,29333,"4,61", 58.93, 33.49,"2,57"
OSP. CTO ALESINI,ROMA,29600,"13,04", 79.65, 7.05,"0,15"
OSP. ALBANO LAZIALE,ALBANO LAZIALE,30583,"3,02", 51.40, 42.27,"3,31"
OSP. S.SEBASTIANO,FRASCATI,31659,"1,24", 73.79, 23.55,"1,42"
A.O. S.FILIPPO NERI,ROMA,33759,"2,23", 55.06, 36.41,"4,7"
OSP. S.SPIRITO,ROMA,35483,"9,19", 69.29, 17.27,"1,92"
OSP. CIVILE CONIUGI BERNARDINI,PALESTRINA,35629,"1,38", 75.51, 20.87,"1,39"
OSP.C. FATEBENEFRATELLI,ROMA,35813,"6,51", 53.94, 37.27,"0,85"
C.C.A. CITTA DI APRILIA,APRILIA,36226,"0,88", 73.78, 24.24,"0,98"
OSP. DONO SVIZZERO,FORMIA,37256,"1,24", 74.67, 22.95,"1,1"
OSP. DI ANZIO E NETTUNO,ANZIO,37681,"2,36", 71.73, 24.27,"1,64"
OSP. S.CAMILLO DE LELLIS,RIETI,39582,"1,66", 60.83, 33.52,"3,96"
OSP. S.GIOVANNI EVENGELISTA,TIVOLI,40762,"3,32", 53.15, 40.66,"2,76"
OSP. S.SCOLASTICA,CASSINO,41441,"0,95", 63.94, 30.93,"1,99"
OSP. REGIONALE OFTALMICO,ROMA,42601,27, 70.47, 2.36,"0,07"
OSP.C. G.VANNINI,ROMA,44864,"4,81", 65.81, 25.40,"3,97"
OSP. DI BELCOLLE,VITERBO,46607,"3,09", 64.75, 28.87,"3,19"
OSP. F.SPAZIANI,FROSINONE,47489,"1,53", 49.28, 41.46,"4,37"
A.O.U.U. S.ANDREA,ROMA,48600,"3,21", 70.31, 23.70,"2,52"
OSP.C. S.PIETRO FATEBENEFRATELLI,ROMA,50325,"2,87", 82.79, 12.34,"0,77"
A.O.U.U. TOR VERGATA,ROMA,51389,"7,54", 67.50, 20.76,"3,3"
OSP. G.GRASSI,ROMA,56801,"2,34", 67.17, 26.12,"3,84"
OSP. S.EUGENIO,ROMA,57641,"2,74", 72.41, 21.81,"2,46"
A.O. S.GIOVANNI ADDOLORATA,ROMA,60302,"4,47", 68.11, 24.55,"2,71"
PRES. CASILINO,ROMA,60739,"3,11", 82.52, 12.99,"1,38"
OSP. S.MARIA GORETTI,LATINA,66395,"4,43", 69.63, 23.54,"2,4"
POL.U. A.GEMELLI,ROMA,70086,"2,86", 66.58, 26.99,"3,26"
OSP. S.PERTINI,ROMA,71815,"6,17", 74.65, 15.19,"3,53"
IRCCSpr BAMBINO GESU`,ROMA,72731,"22,94", 65.33, 11.39,"0,35"
A.O. S.CAMILLO,ROMA,87111,"5,64", 75.85, 15.60,"2,9"
A.O.U.U. UMBERTO I,ROMA,134961,"11,84", 63.26, 21.91,"2,99"
